,NUM NODES,NUM EDGES,PEARL DEPTH,GRAPH NAME,NUM PEARLS
193,84,101,0,RedBestel.graphml,1
194,19,32,0,Rediris.graphml,1
195,5,4,1,Renam.graphml,0
196,24,23,1,Renater1999.graphml,0
197,24,27,0,Renater2001.graphml,1
198,30,36,0,Renater2004.graphml,1
199,33,43,1,Renater2006.graphml,2
200,33,43,1,Renater2008.graphml,2
201,43,56,0,Renater2010.graphml,1
202,19,21,0,Restena.graphml,1
203,37,36,1,Reuna.graphml,0
204,16,18,1,Rhnet.graphml,2
205,31,34,0,Rnp.graphml,1
206,42,50,0,Roedunet.graphml,1
207,48,52,0,RoedunetFibre.graphml,1
208,18,17,1,Sago.graphml,0
209,43,45,0,Sanet.graphml,1
210,7,7,1,Sanren.graphml,0
211,19,20,0,Savvis.graphml,1
212,28,35,1,Shentel.graphml,2
213,74,76,1,Sinet.graphml,2
214,11,10,1,Singaren.graphml,0
215,15,16,1,Spiralight.graphml,0
216,11,18,0,Sprint.graphml,1
217,26,49,1,Sunet.graphml,2
218,50,73,2,Surfnet.graphml,3
219,74,92,3,Switch.graphml,5
220,42,63,0,SwitchL3.graphml,1
221,74,74,0,Syringa.graphml,1
222,145,194,2,TataNld.graphml,1
223,6,6,1,Telecomserbia.graphml,0
224,53,89,1,Tinet.graphml,2
225,12,16,0,TLex.graphml,1
226,20,20,0,Twaren.graphml,1
227,82,82,0,Ulaknet.graphml,1
228,25,29,0,UniC.graphml,1
229,13,25,0,Uninet.graphml,1
230,74,101,1,Uninett2010.graphml,2
231,69,98,1,Uninett2011.graphml,2
232,24,24,1,Uran.graphml,0
233,158,189,3,UsCarrier.graphml,1
234,49,84,0,Uunet.graphml,1
235,25,26,0,Vinaren.graphml,1
236,24,23,1,VisionNet.graphml,0
237,88,92,2,VtlWavenet2008.graphml,3
238,92,96,2,VtlWavenet2011.graphml,3
239,30,33,0,WideJpn.graphml,1
240,24,34,1,Xeex.graphml,2
241,34,49,0,Xspedius.graphml,1
242,23,24,0,York.graphml,1
